Date,Total,Desktop,Android,Desktop/nightly,Desktop/aurora,Desktop/beta,Desktop/release,Android/nightly,Android/aurora,Android/beta,Android/release
2015-09-10,106917388,102216822,4700566,44792,111202,2166332,99894496,1096,1200,91571,4606699
2015-09-11,101220284,96520502,4699782,43383,106338,2041263,94329518,1136,1173,92307,4605166
2015-09-12,77184245,72549213,4635032,36611,78517,1725990,70708095,1081,1217,92416,4540318
2015-09-13,78709484,73993915,4715569,37765,80214,1520167,72355769,1137,1234,93976,4619222
2015-09-14,106309462,101537677,4771785,46394,113270,2279595,99098418,1094,1206,91791,4677694
2015-09-15,105949097,101016748,4932349,46266,113634,2262515,98594333,1154,1190,94017,4835988
2015-09-16,104459198,100011705,4447493,46165,112664,2221813,97631063,1183,1215,93319,4351776
2015-09-17,103461694,98997689,4464005,45353,111821,2040107,96800408,1132,1196,92795,4368882
2015-09-18,98647641,94223545,4424096,43733,108478,2048333,92023001,1180,1196,91996,4329724
2015-09-19,75067454,70692050,4375404,37323,80530,1770647,68803550,1161,1204,91816,4281223
2015-09-20,76161307,71724340,4436967,38010,80697,1515441,70090192,1127,1263,93296,4341281
2015-09-21,107181613,102693099,4488514,46640,113285,2265080,100268094,1206,1194,90890,4395224
2015-09-22,107104185,102577652,4526533,46607,114052,2249280,100167713,1156,1247,92222,4431908
2015-09-23,105526887,101009430,4517457,45984,113437,2153196,98696813,1185,1309,92147,4422816
2015-09-24,101492582,97042805,4449777,43792,110269,1796270,95092474,1162,1296,90116,4357203
2015-09-25,98445176,93994114,4451062,43317,107553,1852801,91990443,1175,1285,89956,4358646
2015-09-26,75391466,70986276,4405190,37459,80957,1668848,69199012,1146,1275,90000,4312769
2015-09-27,76327242,71850284,4476958,38598,81522,1448108,70282056,1128,1353,90964,4383513
2015-09-28,109011077,104436144,4574933,46873,115992,2251105,102022174,1124,1307,89236,4483266
2015-09-29,109335605,104738773,4596832,46966,117387,2282498,102291922,1181,1323,90508,4503820
2015-09-30,108475281,103884428,4590853,45259,117487,2285395,101436287,1201,1274,91633,4496745
2015-10-01,105687408,101094472,4592936,45104,114986,2191116,98743266,1172,1362,91603,4498799
2015-10-02,98513386,93964153,4549233,42962,108560,1878304,91934327,1149,1296,90642,4456146
2015-10-03,76446594,71923789,4522805,37421,82891,1793043,70010434,1130,1338,91149,4429188
2015-10-04,77962007,73369802,4592205,38007,83660,1531044,71717091,1116,1386,92417,4497286
2015-10-05,109281278,104646565,4634713,46673,116902,2295718,102187272,1160,1318,89164,4543071
2015-10-06,109275771,104613541,4662230,46648,117998,2287818,102161077,1175,1383,90371,4569301
2015-10-07,108741334,104078622,4662712,46689,117952,2289447,101624534,1156,1367,91189,4569000
2015-10-08,108254388,103567618,4686770,46353,117809,2228824,101174632,1132,1344,91463,4592831
