Date,Desktop/Delta,Desktop/Delta%,Android/Delta,Android/Delta%,Total/Delta,Total/Delta%
2015-09-17,-9011479.299999997,-9.948186628824935,542895.2666666671,11.833705080718104,-8468584.03333333,-0.08898203241165552
2015-09-18,-9126309.833333328,-10.074149937790349,526153.6999999997,11.48816277042653,-8600156.13333333,-0.09036499054020233
2015-09-19,-9798811.299999997,-10.902844146616287,514273.5333333337,11.234366449683963,-9284537.766666664,-0.09829944140356932
2015-09-20,-9548223.166666672,-10.686340919468066,506807.5333333332,11.069743377617543,-9041415.633333338,-0.09625889716589187
2015-09-21,-7805933.733333334,-8.622139088946117,500486.5333333337,10.920674587529067,-7305447.200000001,-0.07680522731902169
2015-09-22,-7824375.633333325,-8.536265179031538,489873.3999999999,10.682303417208516,-7334502.233333325,-0.07620558949665267
2015-09-23,-8807696.36666666,-9.59966486539636,476397.7666666666,10.390934874510368,-8331298.599999993,-0.08648276603377444
2015-09-24,-8925366.833333328,-9.732061371061668,461901.76666666707,10.083188717466532,-8463465.06666666,-0.08789387064847441
2015-09-25,-9199646.533333331,-10.042173988332143,450027.63333333284,9.831806114298583,-8749618.899999999,-0.09096432007660747
2015-09-26,-10019828.700000003,-11.040165506589632,443376.39999999944,9.699103743298604,-9576452.300000004,-0.10045657809473231
2015-09-27,-9881687.433333322,-10.965230177063763,432940.2000000002,9.474821622606482,-9448747.233333323,-0.09978848366172986
2015-09-28,-8150930.400000006,-8.9260246483195,427384.13333333377,9.342720801565552,-7723546.266666672,-0.08054507409839287
2015-09-29,-8147143.766666666,-8.810570087821363,417886.1999999997,9.12867126494947,-7729257.566666666,-0.07964378601388253
2015-09-30,-9156203.766666666,-9.88891036042549,404253.3000000003,8.83383369949042,-8751950.466666665,-0.09007139221902209
2015-10-01,-9409965.033333331,-10.164412862245324,392284.3333333335,8.576455695601075,-9017680.699999997,-0.0928207846181586
2015-10-02,-9589543.566666663,-10.383113454666452,381042.7999999998,8.336647015320048,-9208500.766666662,-0.09500370522845054
2015-10-03,-10189081.700000003,-11.1425247651162,369725.5333333332,8.095672843834773,-9819356.16666667,-0.10227413932345664
2015-10-04,-9903841.733333334,-10.911977756144934,361023.7333333334,7.906090635771706,-9542818,-0.10010551183708047
2015-10-05,-8051827.13333334,-8.762114704798263,352800.5333333332,7.718987392325063,-7699026.600000007,-0.07981226329672204
2015-10-06,-7671921.86666666,-8.251337511569115,349407.36666666716,7.637985288568261,-7322514.499999993,-0.075062279503581
2015-10-07,-7975457.266666666,-8.554343663032965,352560.80000000075,7.705502325808034,-7622896.466666665,-0.07793712914489041
2015-10-08,-7878410.63333334,-8.449437647144418,340463.5333333332,7.4401997004691065,-7537947.100000007,-0.07706107147528236
2015-10-09,-7962819.033333331,-8.55775856192376,335902.5333333332,7.342954929097479,-7626916.499999998,-0.07812667460646237
2015-10-10,-8598410.600000009,-9.33599350332745,330448.10000000056,7.230348040257735,-8267962.500000008,-0.08552781151121906
2015-10-11,-8438174.300000012,-9.23961673026286,326831.5666666664,7.155551160274326,-8111342.7333333455,-0.08458695200203835
2015-10-12,-6704829.133333325,-7.267220351297531,326468.36666666716,7.144874503165176,-6378360.766666658,-0.06587138296937936
2015-10-13,-6551907.266666666,-7.019198214143857,322339.166666667,7.052206929622545,-6229568.099999999,-0.06362322451878877
2015-10-14,-7368188.333333328,-7.8854457775133575,317711.4333333336,6.951497636094506,-7050476.899999995,-0.07193574710870093
2015-10-15,-7160624,-7.653783527719744,308462.86666666623,6.756662617608457,-6852161.133333334,-0.06983309714939719
2015-10-16,-7149476,-7.645773216619897,315207.0666666664,6.888736756316213,-6834268.933333334,-0.06967731957961383
2015-10-17,-7710496.400000006,-8.31855573932735,320009.666666667,6.982397456808383,-7390486.733333339,-0.07597642759072758
2015-10-18,-7344091.333333328,-7.9785374536210805,330145.5333333332,7.187633883239575,-7013945.799999995,-0.07257708002509633
2015-10-19,-5322746.666666672,-5.706542185256385,342960.4666666668,7.442681581041069,-4979786.200000005,-0.05087514972260343
2015-10-20,-5143665.033333331,-5.446192822698467,352686.833333333,7.629656341781612,-4790978.199999998,-0.048360634070130665
2015-10-21,-5970000.5,-6.314758426202359,359631.5333333332,7.760486131541219,-5610368.966666667,-0.05657063600983361
2015-10-22,-5797273.233333334,-6.1307947908024145,364804.63333333284,7.855391289555482,-5432468.6000000015,-0.05476063528976703
2015-10-23,-5699972.233333334,-6.034389594139769,372402.5333333332,8.000304313121472,-5327569.700000001,-0.05375248387920032
2015-10-24,-6134703.299999997,-6.549137770006885,382896.833333333,8.204339906720728,-5751806.466666664,-0.0584896201299161
