Date,Desktop/Delta,Desktop/Delta%,Android/Delta,Android/Delta%
2015-12-15,-6281928.285714284,-6.488783654381153,465521.5714285718,9.146139841239807
2015-12-16,-5838517.857142866,-6.040764383256643,494420.71428571455,9.69861787594932
2015-12-17,-5602127.714285716,-5.810646008565787,520767.8571428573,10.211717408405557
2015-12-18,-5338395.571428567,-5.556658894255185,550832.2857142854,10.79428679872217
2015-12-19,-4948924.428571433,-5.162484309491872,575692.7142857146,11.278025930076703
2015-12-20,-5130805.428571433,-5.379513187972961,591195.5714285718,11.579462685290915
2015-12-21,-5627594.428571433,-5.980191935823457,620226,12.13857492159353
2015-12-22,-5452074.857142866,-5.889745460282992,636777.2857142854,12.462104705263753
2015-12-23,-5626861,-6.217908159630352,637366.1428571427,12.486869940093815
2015-12-24,-6218534.571428567,-7.227152194177901,631516.1428571427,12.420063251499274
2015-12-25,-5948862.571428567,-7.320310342834047,627035.8571428573,12.362519895716884
2015-12-26,-4163621.571428567,-5.187370809858911,621573,12.230720676035844
2015-12-27,-4486150,-5.638348132350203,624474.5714285718,12.269077796502351
2015-12-28,-5427303,-6.927225157541949,625866.1428571437,12.254249675474053
2015-12-29,-5627291.428571433,-7.272928194883605,624713.2857142864,12.198892194872396
2015-12-30,-5537653.2857142985,-7.196907522130245,625916.8571428573,12.179396034643561
2015-12-31,-5074928.142857134,-6.591825114119318,660599.7142857136,12.829850943713868
2016-01-01,-5008840,-6.507304398092597,686478.7142857146,13.282363556210413
2016-01-02,-5021139.571428567,-6.472147021202322,713819.5714285709,13.770665318538416
2016-01-03,-4603795.857142866,-5.882872137789543,738847.8571428573,14.206643221931378
2016-01-04,-3866591,-4.855489481415467,757390,14.535527452531149
2016-01-05,-3760953.8571428657,-4.646957875222202,746266.1428571427,14.389267154190243
2016-01-06,-3996765.8571428508,-4.870617952327471,736802.1428571427,14.247816196191657
2016-01-07,-4208422.7142857015,-4.902480443545759,694167.7142857136,13.390200102333939
2016-01-08,-4796869.571428567,-5.304890550729024,666305,12.840757874613242
2016-01-09,-6714605.571428567,-7.380104815169348,635859,12.287188436417464
2016-01-10,-6989715,-7.655926637891633,598548.2857142854,11.606374988386245
2016-01-11,-6561231.714285716,-7.128871100327458,564402,10.98724379619775
2016-01-12,-6598377.428571418,-7.091476630615992,567996,11.01724252161297
2016-01-13,-6604582,-6.999189812375188,561614.7142857146,10.870264776033402
2016-01-14,-6647977.571428567,-7.004100269156965,539925.2857142864,10.421279226358356
2016-01-15,-6658985.142857134,-6.990466775967009,527237.2857142854,10.155476157685467
2016-01-16,-6843584,-7.17999823222938,522442.1428571427,10.045190647244782
2016-01-17,-6706417.285714284,-7.033810465316223,520352.1428571427,9.98402403753974
2016-01-18,-7645658.571428567,-8.09703239648538,509689.28571428545,9.765552829934897
2016-01-19,-8132991.142857149,-8.679296319129312,503171.4285714282,9.621392653836423
2016-01-20,-8751015.142857134,-9.399953559641785,504797.8571428573,9.629713121572676
